0;50;-180
1;51;-180
2;52;-181
3;53;-181
4;54;-179
5;55;-179
6;56;-180
7;57;-180
8;58;-178
9;59;-178
10;60;-179
11;61;-179
12;60;-177
13;58;-177
14;56;-178
15;54;-178
16;52;-176
17;50;-176
18;48;-177
19;46;-177
20;44;-175
21;42;-175
22;40;-176
23;38;-176
24;36;-174
25;34;-174
26;50;-175
27;51;-175
28;52;-173
29;53;-173
30;54;-174
31;55;-174
32;56;-172
33;57;-172
34;58;-173
35;59;-173
36;60;-171
37;61;-171
38;60;-172
39;58;-172
40;56;-170
41;54;-170
42;52;-171
43;50;-171
44;48;-169
45;46;-169
46;44;-170
47;42;-170
48;40;-168
49;38;-168
50;36;-169
51;34;-169
52;50;-167
53;51;-167
54;52;-168
55;53;-168
56;54;-166
57;55;-166
58;56;-167
59;57;-167
60;58;-165
61;59;-165
62;60;-166
63;61;-166
64;60;-164
65;58;-164
66;56;-165
67;54;-165
68;52;-163
69;50;-163
70;48;-164
71;46;-164
72;44;-162
73;42;-162
74;40;-163
75;38;-163
76;36;-161
77;34;-161
78;50;-162
79;51;-162
80;52;-160
81;53;-160
82;54;-161
83;55;-161
84;56;-159
85;57;-159
86;58;-160
87;59;-160
88;60;-161
89;61;-161
90;60;-162
91;58;-162
92;56;-159
93;54;-159
94;52;-160
95;50;-160
96;48;-161
97;46;-161
98;44;-158
99;42;-158
100;40;-159
101;38;-159
102;36;-160
103;34;-160
104;50;-157
105;51;-157
106;52;-158
107;53;-158
108;54;-159
109;55;-159
110;56;-156
111;57;-156
112;58;-157
113;59;-157
114;60;-158
115;61;-158
116;60;-155
117;58;-155
118;56;-156
119;54;-156
120;52;-157
121;50;-157
122;48;-154
123;46;-154
124;44;-155
125;42;-155
126;40;-156
127;38;-156
128;36;-153
129;34;-153
130;50;-154
131;51;-154
132;52;-155
133;53;-155
134;54;-152
135;55;-152
136;56;-153
137;57;-153
138;58;-154
139;59;-154
140;60;-151
141;61;-151
142;60;-152
143;58;-152
144;56;-153
145;54;-153
146;52;-150
147;50;-150
148;48;-151
149;46;-151
150;44;-152
151;42;-152
152;40;-149
153;38;-149
154;36;-150
155;34;-150
156;50;-151
157;51;-151
158;52;-148
159;53;-148
160;54;-149
161;55;-149
162;56;-150
163;57;-150
164;58;-147
165;59;-147
166;60;-148
167;61;-148
168;60;-149
169;58;-149
170;56;-146
171;54;-146
172;52;-147
173;50;-147
174;48;-148
175;46;-148
176;44;-145
177;42;-145
178;40;-146
179;38;-146
180;36;-147
181;34;-147



